,category,company,details,experience,industry,location,salary,title
0,Information Technology,OPTOMI,"



 Optomi, in partnership with a leading global asset management and financial services company is seeking a Data Engineer for their Owings Mills, MD locations.  

 The Data Engineer will be joining a team that will help create, maintain and optimize a new cloud-based data architecture that will support multiple investment business lines and will make architectural and design recommendations that will help facilitate the determination Buy/Sell investment decisions in a highly dynamic team environment.  







What the right professional will enjoy!!
●  Help establish best practices in big data technologies and data warehouse to collect and analyze large volumes of data advancing the state of the art in efficiency optimization, predictive analytics and BI self-reporting tools.
●  Join an emerging technical team of data engineers delivering a wide array of big data and self-service reporting solutions that use cutting edge technologies
●  Help guide the organization in efficient data and resource management best practices with cloud based big data, Data Warehouse and Reporting platforms and services

Apply today if your background includes:
●  You have a Bachelor’s Degree in Computer Science (or related field) and have 5+ years of relevant work experience in business intelligence, data engineering, data warehousing, or a similar field.
●  You remain active in learning emerging practices and technologies in the BI/DW and data science space.
●  You are comfortable and confident in your knowledge of multiple database programming languages and your knowledge of relational and columnar databases.
●  You have experience integrating data from multiple data sources and have processed large amounts of unstructured data.
●  You have experience with AWS, Big Data Components (Apache Spark, Hadoop, Presto, etc.), and Continuous Integration tools (TeamCity, Octopus, Jenkins, etc.) is desired, but not required.

Data Engineer Job Responsibilities:
●  Provide significant contributions to the growth of our Data infrastructure
●  Design, develop, test and deploy business intelligence solutions
●  Design and document data structures/models and data flows
●  Interact with various business units and technical teams to gather requirements
●  Review, optimize and document current ETL processes
●  Ensure data quality, completeness, and accuracy
●  Collaborate with team members in code reviews, discovering better practices and patterns and continuous improvements



",5+ years,Accounting - Finance,"Baltimore, MD","$90,000.00 - $140,000.00 /Year",Data Engineer
1,"Information Technology, Engineering, Professional Services",CyberCoders,"
This position is open as of 4/22/2018.Python Data EngineerWe are seeking a talented Python Data Engineer to join our team building an AI-based website optimization product. If this sounds intriguing, please keep reading!Based in San Francisco, CA we have brought together a team of world-renowned experts in AI and Machine Learning to build the world's fastest and most distributed computational AI platform. Companies are leveraging our platform for scientific research, business intelligence, finance and robust web marketing. Now that we have secured an incredible level of funding from some of the most influential investors in the world, we are looking to scale out our B2B services. This particular product improves conversion rates on eCommerce sites for our customers, by conducting automated A/B tests at AI scale.What You Will Be DoingAs an integral part of our R&D and web optimization product team, your challenge will be to understand our data needs, architect an effective solution from the ground up, and then build it, all in conjunction with data scientists, core engineers, and architects.Top Reasons to Work with Us1.) We have closed our largest round of funding to date and are scaling out our team, products and revenue streams2.) At the forefront of artificial intelligence, we are evolving technology and business with never-before-seen capabilities.3.) We offer top market salaries, stock, benefits, part-time telecommute options, bonuses, 401K and more!What You Need for this Position- Bachelor's Degree in Computer Science (or closely related)- 6+ years of professional experience developing a combination of data and server technologies- 2+ years of Python development experience- Experience working with a range of data systems (e.g., Spark, Cascading, Hadoop, Hive, Pig, Storm, ElasticSearch)- Deep knowledge of relational, structured, semi-structured and unstructured data systems and when to use each type of system- Experience building scalable, distributed systems with microservices architectureBonus:- Experience with RESTful services, JSON and XML metadata, Docker containers.- Experience with evolutionary algorithms, or machine learning.- Experience with AWS, the Netflix stack, and microservices.- Knowledge of and an appreciation for open source projects, design patterns, and enterprise architecture patterns.What's In It for You- Take-as-you-need vacation!- 10 company holidays- Telecom reimbursement- Tons of snacks and beverages- Catered educational lunches every Tuesday- Catered lunch every Friday- Super-convenient location near BART, Caltrain, Muni, Ferries- Team Events, Happy Hours, Holiday Parties, more.So, if you are a Sr. Level Data Engineer with Python skills, please apply today!Required SkillsPython, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architectureIf you are a good fit for the Python Data Engineer position, and have a background that includes:Python, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architecture and you are interested in working the following job types:Information Technology, Engineering, Professional ServicesWithin the following industries:Computer SoftwareOur privacy policy: Your resume and information will be kept completely confidential.Looking forward to receiving your resume through our website and going over the job in more detail with you! CyberCoders, Inc is proud to be an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.  Your Right to Work – In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.

Python, Data Engineering, Data Systems (Spark/Hadoop/Hive/Pig/Storm/Elastic), Microservices architecture
",6+ years,Computer Software,"San Francisco, CA 94102","$150,000.00 - $200,000.00 /Year",Sr. Python Data Engineer
2,Information Technology,TechnoSmarts,"

POC TOM MCMANUS-636-519-0814 X33
[Click Here to Email Your Resumé]
 

Position requires US Citizen or lawful permanent resident with three or more years of US residency

POSITION: 255277 Sr. Data Engineer    
LOCATION: St. Louis, MO
DURATION: 12 months
NUMBER OF OPENINGS: 1
AREA CODE:  314
ZIP CODE: 63101
The individual resource will perform the following activities:

Design, develop and implement ETL transformations using Informatica power center and related products. Develop ETL related scripts, database procedures and other services as needed for implementing the best practices of ETL implementation. Provide SME (subject matter expert) in ETL technology implementation. 
Design coded database objects, including stored procedures, Oracle packages, functions, views, and PL/SQL scripts used for data migration, fixes, transformations, and test data generation.
Create, review, and deliver release documentation, reports, procedures, configuration documents and other required artifacts for updates to extraction, transformation, and load packages in order to: populate databases from different sources; integrate, consolidate and cleanse data; and, structure data for use in analytics applications.
Promptly provide written status reports as requested by Bank on activities to achieve successful updates to Bank’s databases, data engineering platforms, and data integration platforms according to the applicable schedule.  
As requested, perform problem diagnosis, identification and resolution for complex databases, data engineering platforms, and data integration platforms developed in Oracle, Informatica, and scripting language.  Provide reports to Bank on activities to address problems. 
Develop, test, deploy and document code based on the Bank’s design specifications.  Implement schema changes and maintain data architecture standards across databases. 
Prepare, test and maintain database release code to ensure optimized performance of databases, data engineering platforms, and data integration platforms throughout the software development life cycle.
Participate in peer code reviews.
Provide training in a timely manner to Bank staff on data engineering activities and technical and business requirements associated with updates to Bank’s applications.


Position requires US Citizen or lawful permanent resident with three or more years of US residency




Position requires US Citizen or lawful permanent resident with three or more years of US residency

Qualifications: 

Bachelor's degree with major or specialized courses in Information Technology or commensurate experience. 
3+ years’ related experience in performing listed activities.
Experience with Informatica PowerCenter.
Experience designing and delivering cross functional custom reporting solutions. 
Experience with relational SQL and NoSQL databases, and Oracle.
Demonstrated ability to perform self-directed work while supporting multiple teams, systems and products.
Demonstrated ability to communicate effectively.
Availability to travel in connection with providing services.
 
Position requires US Citizen or lawful permanent resident with three or more years of US residency


",3+ years,Banking - Financial Services,"16090 Swingley Ridge Roadsaint louis, MO 63017",$450.00 - $60.00 /Hour,SR. DATA ENGINEER
3,Information Technology,FRG Technology Consulting,"
Big Data Engineer - Cambirdge, MA - $180K My client is looking for an enthusiastic Big Data Engineer to work in improving their business and streamlining efficiency. The role involves working with Big Data and analytics tools to provide better solutions. It is critical that this Engineer have an understanding of full lifecycle projects and has experience working on projects from proof of concept to delivery and implementation. The engineer will be involved in the development, implementation, and analysis of the cloud based project.Big Data Engineer - Cambirdge, MA - $180K Required Experience & Qualifications:
Extensive experience in big data tools and data warehouse design
Experience scripting with Scala on Spark

Proven familiarity with AWS; certification a plus Extensive knowledge and implementation of Hadoop platform and environment; Hortonworks, Cloudera, Zookeeper are a plus
Proven experience using AWS tools such as EMR, EC2, S3
Long term experience using Redshift
Experience with one or more of the following: Java, Python, Hive, Oracle
Comprehensive experience in the big data space
Role & Responsibilities:
Use understanding of big data concepts to fully design and communicate project goals
Be able to communicate technically and non-technically to higher management
Recognize how to best use AWS and Hadoop to achieve desired result while keeping budget and requirements in mind
Provide highly technical and strong managerial leadership to a team
Benefits & Bonus
Competitive base and bonus
Full medical/health
Opportunity to work with the newest technology in the industry
Company Match 401k program
Remote work
Exciting company culture
If you or someone you know is interested in this position, please send your resume directly to [Click Here to Email Your Resumé] or call 212-731-8282. My client is looking to start the interview process as soon as possible.FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space.I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 212-731-8282. Please see www.frgconsulting.com for more information.Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark

Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark
",NA,Computer Software,"Cambridge, MA","$180,000.00 - $190,000.00 /Year","Big Data Engineer - Cambirdge, MA - $180K"
4,Information Technology,The Select Group,"
DATA ENGINEER:
We are looking a Data Engineer for a project in Durham, NC. This person will be taking mined data captured from a suite of websites and integrating it into reports to present to the business in order to make sound judgments around marketing strategies.DATA ENGINEER TOP SKILLS:


Experience with Google Cloud services like Dataflow, BigQuery, Cloud Repository



Data Mining experience



Python experience



SQL experience 


DATA ENGINEER RESPONSIBILITIES:


Work closely with the business and technical teams and contributor to the requirements specification deliverable, writes the business and functional requirements.



Create and maintain consistent reference data and master data definitions.



Validate the data in source systems to meet the requirements feasibility and quality etc.



Understand and document current business processes/problems and work closely with Solution Design to help solve and identify areas for improvement.



Need to understand business processes and ensures that there is integration between business and technology



Identify and resolving data integrity issues across stakeholders.



Analyzing data for quality and reconciling data issues across the sources.



Publishing relevant data to appropriate users in an organization and monitoring the published data sources for usage/relevance/quality feedback.



Creating and managing business metadata for published data sources to ensure that it is easily discoverable, and meaningful to information workers.



Participates in improvement projects as needed. Maintains knowledge of industry best practices for complaint handling, quality metrics, and quality data systems.


About The Select Group:We are TSG - a fast-growing technical services firm serving the U.S. and Canada. We open doors to diversified prospective employers who respect and value your ambitions, your pursuit of a meaningful career, and your particular skill-set. We offer interview guidance, an impressive referral program, and partner with you to find work that drives you. Learn more about us in our company overview video, or visit us at http://www.selectgroup.com. Sign up to receive weekly job alerts in your inbox by joining the TSG Talent Network.We have the privilege of impacting lives, so let us impact yours.The Select Group provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability, genetic information, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws.
",NA,Other Great Industries,"Durham, NC","$100,000.00 - $130,000.00 /Year",Data Engineer
5,Information Technology,Catapult Staffing,"
We are seeking a hands-on, Senior Data Engineer for a long-term contract assignment with a nationally-recognized consulting/managed services firm. You will work with the Regulatory Affairs department to deliver forecasting models to support rate case filings. The data engineer must have experience with statistical analysis and modeling projects.  The data engineer must be comfortable interacting and communicating with both Business and IT project team members. The data engineer must have expertise in mathematics and applied statistics with programming skills to create predictive models and tools.

Rate: $55-60/hour (W2) | $60-65/hour (Corp-to-Corp)

 

Skills needed for this Senior Data Engineer are:


Tools - SAS, SQL (Netezza, SQL Server, Teradata), R
Modeling concepts - Machine Learning, Time series analysis, Clustering, Generalized Linear and Additive Models, Nonlinear Regression, Classification, Neural Networks, Decision trees, Text mining, OCR
Big Data Tools - Hadoop, MapReduce (MapR)
Utility or regulated industry experience (preferred)

",NA,Energy - Utilities - Gas - Electric,"San Francisco, CA",$55.00 - $65.00 /Hour,Big Data Engineer
6,Information Technology,Strategic IT Staffing,"
Sr. Data EngineerContract: 6+ monthsHartford, CTCOMPANY PROFILE:
Leading investment and financial services firm 
Has been in business for more than 100 years 
Leaders in financial technology - their financial simulators are multiple award winning technology platforms 
THE ROLE YOU WILL PLAY:The Data Engineer will work closely with the IT teams to architect, design, build and upkeep solutions associated with analytical data. The Data Engineer will be responsible for building products that will help to advance BI and data science. BACKGROUND PROFILE: 
Bachelor's Degree in Computer Science or equivalent experience
A strong understanding of enterprise data design and architecture with significant experience using SQL on traditional databases (e.g. Oracle, MS SQL Server, PostgreSQL)
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management. This is usually paired with experience using an ETL tool (Extract, Transform and Load)
Experience working with large data sets
Knowledge of at least one or more enterprise languages (C/C++/C#/Java) and scripting languages (Python, Ruby, Perl)
Experience with data visualization tools (e.g. Tableau, PowerBi)
Strong knowledge about data modeling, data access, and data storage techniques
Experience of building high level data pipelines.
Experience with Agile development
High level of expertise with cloud platforms - Microsoft Azure ideally.
About Strategic IT Staffing With over 20 years of staffing experience in the technical information field, Strategic IT Staffing knows the industry well from the most rewarding jobs available to the hottest career choices to make. In addition, we are owned and operated by industry experts who have worked in the information arena for over two decades. When you choose to work through Strategic IT Staffing, you choose a team approach to employment. We match your career choice and skills with an employer who needs your knowledge and expertise. We make sure you are in control of your career. Strategic IT Staffing is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.
",NA,Computer Software,"Hartford, CT","$102,000.00 - $114,000.00 /Year",Senior Data Engineer
7,Information Technology,Cogensia,"
The Big Data Engineer's primary responsibilities are to build, integrate data from various resources, and support Cogensia's big data ecosystem. The Engineer will work closely with other teammates to design optimum solutions using best practices. The Engineer is responsible to ensure the data ecosystem is built to be highly scalable and responsive through writing complex queries and ensuring optimal performance and availability.The Big Data Engineer also creates ETL, batch, and automated processes on top of big datasets and creates big data warehouses to be used for reporting and analysis by Cogensia's data scientists. This role will provide build and support ingestion and connection solutions for the businesses' data science teams as well as outside partners and clients. Responsibilities:

Work closely with SMEs and implement agreed upon solutions using best practices



Select and integrate any Big Data tools and frameworks required to provide requested capabilities



Implement ETL processes



Monitor performance and advising any necessary infrastructure changes



Management of Hadoop, Spark, or EMR clusters, with all included services



Design, implement, and tune tables, queries, stored procedures, indexes, etc. 



Provide technical support to members of TS and SA team, as well as project support across client engagements



Work with geographically dispersed teams, embracing Agile and DevOps strategies for themselves and others while driving adoption to enable greater technology and business value



Stays current with relevant technology in order to maintain and/or improve functionality for authored applications.



Assume other responsibilities as requested/required







Bachelor's or advanced degree in Computer Science/IT or related field



5+ years relevant experience



Proficient understanding of distributed computing principles



Ability to solve any ongoing issues with operating the cluster



Proficiency with Hadoop, Spark, MapReduce, HDFS



Experience building stream-processing systems, using solutions such as Storm or Spark-Streaming



Good knowledge of Big Data querying tools, such as Pig, Hive, and Impala



Experience with integration of data from multiple data sources



Experience with NoSQL databases, such as HBase, Cassandra, Redshift, MongoDB



Knowledge of various ETL techniques and frameworks, such as Flume



Experience with Big Data ML toolkits, such as Mahout, SparkML, or H2O



Good understanding of Lambda Architecture, along with its advantages and drawbacks



Experience with Cloudera/MapR/Hortonworks



Experience with using Python scripts & libraries



Experience desired with Database Warehousing Design Concepts; Dimensional Modeling, Star/Snowflake Schemas, ETL/ELT, Data Marts, Analytic Playgrounds, Reporting techniques 



Experience working with Agile software development methodologies, namely Scrum



Proven experience with team collaboration, release management, system and performance monitoring



Ability to work well with people from many different disciplines and varying degrees of technical experience



Strong organizational, presentation and customer service skills. Excellent problem-solving skills to assist in detecting potential issues and issue resolution



Excellent analytical, problem resolution, organization and time management skills.



Ability to handle multiple tasks at a time



Related Keywords: Big Data Engineer
",5+ years,"Computer Hardware, Computer Software","Schaumburg, IL 60195","$80,000.00 - $125,000.00 /Year",Big Data Engineer
8,Information Technology,NA,"
Data Engineer
 
Our global client, based in the Cincinnati, Ohio area, is searching for a talented Data Engineer to join a collaborative team that is delivering products such as individual/smart advertising, CRM, Analytics, and IOT. You will be working with Data Engineers, Data Scientists, and Service Managers to ensure these products are delivered efficiently.
 
Duration: 12-Months+ Renewable or Contract to Hire 
Rate: $55.00 - $80.00/hr C2C or W2 Medical, Dental, Vision and 401K 
Salary Range: $110,000 - $140,000 + Health, Dental, Vision, 401k

Required Experience of the Data Engineer:
·         Experience in applied big data technologies such as: SQL, Linux, Shell Scripting, Relational databases, and ER models/diagrams
·         Demonstrated use of data and BI tools such as Power BI & Tableau
·         Understanding of Data Mining, Data Modeling, and Data Provisioning (acquisition, transformation and sharing).
·         Azure framework experience is preferred 
 
 
For immediate consideration, please email a MS word copy of your latest resume to: [Click Here to Email Your Resumé]
 


Keywords: SQL, Linux, Shell, AWS, Azure, Data, BI, Python, Java, R, Apache, Maven, Ant, NoSQL, Hive, Impala, Big Data
",NA,Other Great Industries,"Cincinnati, OH",$55.00 - $80.00 /Hour,Data Engineer
9,Engineering,TalentHub Worldwide,"
We are seeking a highly talented Data Engineer.
Responsibilities:

Build and maintain the infrastructure to answer questions with data, using software engineering best practices, data management fundamentals, data storage principles, recent advances in distributed systems, and operational excellence best practices.
Work closely with stakeholders to understand their requirements and design the right solution
Work closely with other teams, analyze source systems, define underlying data sources and transformation requirements, design suitable data models and document the design/specifications.
Build/maintain systems and datasets that analysts and scientists use to generate actionable insights.
Demonstrate passion for quality and productivity by use of efficient development techniques, standards and guidelines
Peer reviews of work. Actively mentor more junior members of the team, improving their skills, their knowledge of our systems and their ability to get things done



Strong Computer science background required. A Bachelor’s degree or higher in computer science or equivalent is required
10+ years of experience in a Data Warehouse (DWH) environment with data integration/ETL of large and complex data sets
Design and coding skills in a scripting language (e.g. Python/Perl/shell scripting) on Unix/Linux Platforms.
Proficiency in SQL and database technologies such as AWS Redshift
Data modeling skills such as Star/Snowflake schema design for DWH
Expertise in performance tuning and scaling in a DWH environment
Hands on experience with recent advances in distributed computing such as MapReduce, MPP architectures, NoSQL databases.
Familiarity with Business Intelligence (BI) platforms such as MicroStrategy, OBIEE or equivalent
Good interpersonal and communication skills. Ability to work with different teams for sourcing of data.
Ability to learn fast, work independently with little supervision and deliver on time quality products

Preferred qualifications

Extensive knowledge of BI platforms such as MicroStrategy, OBIEE or equivalent
Experience working with Agile methodologies in a DWH/BI environment

",NA,Computer Hardware,"Newark, NJ",$55.00 - $72.00 /Hour,Data Engineer (Contract)
