,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,Month,Year
0,1,2007-05-01,83,50,66.5,51,56.0,0.0,2.0,0.0,5,2007
1,2,2007-05-01,84,52,68.0,51,57.0,0.0,3.0,0.0,5,2007
2,1,2007-05-02,59,42,50.5,42,47.0,14.0,0.0,0.0,5,2007
3,2,2007-05-02,60,43,51.5,42,47.0,13.0,0.0,0.0,5,2007
4,1,2007-05-03,66,46,56.0,40,48.0,9.0,0.0,0.0,5,2007
5,2,2007-05-03,67,48,57.5,40,50.0,7.0,0.0,0.0,5,2007
6,1,2007-05-04,66,49,57.5,41,50.0,7.0,0.0,0.0,5,2007
7,2,2007-05-04,78,51,64.5,42,50.0,3.40709171496761,5.647118990794408,0.0,5,2007
8,1,2007-05-05,66,53,59.5,38,49.0,5.0,0.0,0.0,5,2007
9,2,2007-05-05,66,54,60.0,39,50.0,5.0,0.0,0.0,5,2007
10,1,2007-05-06,68,49,58.5,30,46.0,6.0,0.0,0.0,5,2007
11,2,2007-05-06,68,52,60.0,30,46.0,5.0,0.0,0.0,5,2007
12,1,2007-05-07,83,47,65.0,41,54.0,0.0,0.0,0.0,5,2007
13,2,2007-05-07,84,50,67.0,39,53.0,0.0,2.0,0.0,5,2007
14,1,2007-05-08,82,54,68.0,58,62.0,0.0,3.0,0.0,5,2007
15,2,2007-05-08,80,60,70.0,57,63.0,0.0,5.0,0.0,5,2007
16,1,2007-05-09,77,61,69.0,59,63.0,0.0,4.0,0.13,5,2007
17,2,2007-05-09,76,63,69.5,60,63.0,0.0,5.0,0.02,5,2007
18,1,2007-05-10,84,56,70.0,52,60.0,0.0,5.0,0.0,5,2007
19,2,2007-05-10,83,59,71.0,52,61.0,0.0,6.0,0.0,5,2007
20,1,2007-05-11,70,51,60.5,42,51.0,4.0,0.0,0.0,5,2007
21,2,2007-05-11,73,49,61.0,44,51.0,4.0,0.0,0.0,5,2007
22,1,2007-05-12,64,46,55.0,36,46.0,10.0,0.0,0.0,5,2007
23,2,2007-05-12,65,47,56.0,37,46.0,9.0,0.0,0.0,5,2007
24,1,2007-05-13,69,43,56.0,33,46.0,9.0,0.0,0.0,5,2007
25,2,2007-05-13,69,44,56.5,32,46.0,8.0,0.0,0.0,5,2007
26,1,2007-05-14,90,56,73.0,47,59.0,0.0,8.0,0.0,5,2007
27,2,2007-05-14,90,54,72.0,45,58.0,0.0,7.0,0.0,5,2007
28,1,2007-05-15,80,57,68.5,56,61.0,0.0,4.0,0.38,5,2007
29,2,2007-05-15,82,56,69.0,56,61.0,0.0,4.0,0.6,5,2007
30,1,2007-05-16,66,44,55.0,43,48.0,10.0,0.0,0.14,5,2007
