,labels,texts
0,neutral,NEAR the grass-covered rampart which encircles Copenhagen lies a great red house.
1,neutral,"Balsams and other flowers greet us from the long rows of windows in the house, whose interior is sufficiently poverty-stricken; and poor and old are the people who inhabit it."
2,neutral,The building is the Warton Almshouse.
3,neutral,Look! at the window there leans an old maid.
4,sadness,"She plucks the withered leaf from the balsam, and looks at the grass-covered rampart, on which many children are playing."
5,sadness,What is the old maid thinking of?
6,neutral,A whole life drama is unfolding itself before her inward gaze.
7,joy,"""The poor little children, how happy they are- how merrily they play and romp together!"
8,sadness,What red cheeks and what angels' eyes! but they have no shoes nor stockings.
9,fear,"They dance on the green rampart, just on the place where, according to the old story, the ground always sank in, and where a sportive, frolicsome child had been lured by means of flowers, toys and sweetmeats into an open grave ready dug for it, and which was afterwards closed over the child; and from that moment, the old story says, the ground gave way no longer, the mound remained firm and fast, and was quickly covered with the green turf."
10,joy,"The little people who now play on that spot know nothing of the old tale, else would they fancy they heard a child crying deep below the earth, and the dewdrops on each blade of grass would be to them tears of woe."
11,sadness,"Nor do they know anything of the Danish King who here, in the face of the coming foe, took an oath before all his trembling courtiers that he would hold out with the citizens of his capital, and die here in his nest; they know nothing of the men who have fought here, or of the women who from here have drenched with boiling water the enemy, clad in white, and 'biding in the snow to surprise the city."
12,sadness,"""No! the poor little ones are playing with light, childish spirits."
13,sadness,"Play on, play on, thou little maiden!"
14,fear,"Soon the years will come- yes, those glorious years."
15,sadness,The priestly hands have been laid on the candidates for confirmation; hand in hand they walk on the green rampart.
16,sadness,"Thou hast a white frock on; it has cost thy mother much labor, and yet it is only cut down for thee out of an old larger dress!"
17,anger,You will also wear a red shawl; and what if it hang too far down?
18,sadness,"People will only see how large, how very large it is."
19,joy,"You are thinking of your dress, and of the Giver of all good- so glorious is it to wander on the green rampart!"
20,joy,"""And the years roll by; they have no lack of dark days, but you have your cheerful young spirit, and you have gained a friend- you know not how."
21,surprise,"You met, oh, how often!"
22,joy,"You walk together on the rampart in the fresh spring, on the high days and holidays, when all the world come out to walk upon the ramparts, and all the bells of the church steeples seem to be singing a song of praise for the coming spring."
23,neutral,"""Scarcely have the violets come forth, but there on the rampart, just opposite the beautiful Castle of Rosenberg, there is a tree bright with the first green buds."
24,neutral,Every year this tree sends forth fresh green shoots.
25,sadness,Alas!
26,sadness,It is not so with the human heart!
27,sadness,"Dark mists, more in number than those that cover the northern skies, cloud the human heart."
28,sadness,"Poor child! thy friend's bridal chamber is a black coffin, and thou becomest an old maid."
29,sadness,"From the almshouse window, behind the balsams, thou shalt look on the merry children at play, and shalt see thine own history renewed."""
30,sadness,"And that is the life drama that passes before the old maid while she looks out upon the rampart, the green, sunny rampart, where the children, with their red cheeks and bare shoeless feet, are rejoicing merrily, like the other free little birds."
0,neutral,"YES, they called him Little Tuk, but it was not his real name; he had called himself so before he could speak plainly, and he meant it for Charles."
1,neutral,"It was all very well for those who knew him, but not for strangers."
2,neutral,"Little Tuk was left at home to take care of his little sister, Gustava, who was much younger than himself, and he had to learn his lessons at the same time, and the two things could not very well be performed together."
3,neutral,"The poor boy sat there with his sister on his lap, and sung to her all the songs he knew, and now and then he looked into his geography lesson that lay open before him."
4,neutral,"By the next morning he had to learn by heart all the towns in Zealand, and all that could be described of them."
5,neutral,"His mother came home at last, and took little Gustava in her arms."
6,neutral,"Then Tuk ran to the window, and read so eagerly that he nearly read his eyes out; for it had become darker and darker every minute, and his mother had no money to buy a light."
7,neutral,"""There goes the old washerwoman up the lane,"" said the mother, as she looked out of the window; ""the poor woman can hardly drag herself along, and now she had to drag a pail of water from the well."
8,neutral,"Be a good boy, Tuk, and run across and help the old woman, won't you?"""
9,neutral,"So Tuk ran across quickly, and helped her, but when he came back into the room it was quite dark, and there was not a word said about a light, so he was obliged to go to bed on his little truckle bedstead, and there he lay and thought of his geography lesson, and of Zealand, and of all the master had told him."
10,neutral,"He ought really to have read it over again, but he could not for want of light."
11,neutral,"So he put the geography book under his pillow, for he had heard that this was a great help towards learning a lesson, but not always to be depended upon."
12,surprise,"He still lay thinking and thinking, when all at once it seemed as if some one kissed him on his eyes and mouth."
13,neutral,"He slept and yet he did not sleep; and it appeared as if the old washerwoman looked at him with kind eyes and said, ""It would be a great pity if you did not know your lesson to-morrow morning; you helped me, and now I will help you, and Providence will always keep those who help themselves;"" and at the same time the book under Tuk's pillow began to move about."
14,neutral,"""Cluck, cluck, cluck,"" cried a hen as she crept towards him."
15,neutral,"""I am a hen from Kjoge,"" and then she told him how many inhabitants the town contained, and about a battle that had been fought there, which really was not worth speaking of."
16,neutral,"""Crack, crack,"" down fell something."
17,neutral,"It was a wooden bird, the parrot which is used as a target as Prastoe."
18,neutral,He said there were as many inhabitants in that town as he had nails in his body.
19,neutral,"He was very proud, and said, ""Thorwalsden lived close to me, and here I am now, quite comfortable."""
20,surprise,But now little Tuk was no longer in bed; all in a moment he found himself on horseback.
21,neutral,"Gallop, gallop, away he went, seated in front of a richly-attired knight, with a waving plume, who held him on the saddle, and so they rode through the wood by the old town of Wordingburg, which was very large and busy."
22,neutral,"The king's castle was surrounded by lofty towers, and radiant light streamed from all the windows."
23,joy,Within there were songs and dancing; King Waldemar and the young gayly-dressed ladies of the court were dancing together.
24,neutral,"Morning dawned, and as the sun rose, the whole city and the king's castle sank suddenly down together."
25,surprise,"One tower after another fell, till at last only one remained standing on the hill where the castle had formerly been."
26,neutral,"The town now appeared small and poor, and the school-boys read in their books, which they carried under their arms, that it contained two thousand inhabitants; but this was a mere boast, for it did not contain so many."
27,fear,"And again little Tuk lay in his bed, scarcely knowing whether he was dreaming or not, for some one stood by him."
28,neutral,"""Tuk! little Tuk!"" said a voice."
29,neutral,It was a very little person who spoke.
30,neutral,"He was dressed as a sailor, and looked small enough to be a middy, but he was not one."
31,neutral,"""I bring you many greetings from Corsor."
32,neutral,"It is a rising town, full of life."
33,neutral,It has steamships and mail-coaches.
34,neutral,"In times past they used to call it ugly, but that is no longer true."
35,neutral,"I lie on the sea-shore,"" said Corsor; ""I have high-roads and pleasure-gardens; I have given birth to a poet who was witty and entertaining, which they are not all."
36,neutral,"I once wanted to fit out a ship to sail round the world, but I did not accomplish it, though most likely I might have done so."
37,joy,"But I am fragrant with perfume, for close to my gates most lovely roses bloom."""
38,neutral,"Then before the eyes of little Tuk appeared a confusion of colors, red and green; but it cleared off, and he could distinguish a cliff close to the bay, the slopes of which were quite overgrown with verdure, and on its summit stood a fine old church with pointed towers."
39,neutral,"Springs of water flowed out of the cliff in thick waterspouts, so that there was a continual splashing."
40,neutral,Close by sat an old king with a golden crown on his white head.
41,neutral,"This was King Hroar of the Springs and near the springs stood the town of Roeskilde, as it is called."
42,neutral,"Then all the kings and queens of Denmark went up the ascent to the old church, hand in hand, with golden crowns on their heads, while the organ played and the fountains sent forth jets of water."
43,neutral,Little Tuk saw and heard it all.
44,neutral,"""Don't forget the names of these towns,"" said King Hroar."
45,surprise,All at once everything vanished; but where!
46,neutral,It seemed to him like turning over the leaves of a book.
47,neutral,"And now there stood before him an old peasant woman, who had come from Soroe where the grass grows in the market-place."
